sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
BS_K3F9WTAN	amplicon1	ecDNA_1	CALM2	35.349374196556305	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	EPCAM-DT	35.349374196556305	5p	False
BS_K3F9WTAN	amplicon1	ecDNA_1	GACAT3	37.960390544972	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	HAAO	36.252738002676566	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	ID2	36.37147356606734	None	True
BS_K3F9WTAN	amplicon1	ecDNA_1	ID2-AS1	36.37147356606734	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	KIDINS220	36.37147356606734	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	MBOAT2	36.37147356606734	5p	False
BS_K3F9WTAN	amplicon1	ecDNA_1	MTA3	36.252738002676566	5p	False
BS_K3F9WTAN	amplicon1	ecDNA_1	MYCN	37.960390544972	None	True
BS_K3F9WTAN	amplicon1	ecDNA_1	MYCNOS	37.960390544972	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	MYCNUT	37.960390544972	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	OXER1	36.252738002676566	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	STPG4	36.23648050577203	None	False
BS_K3F9WTAN	amplicon1	ecDNA_1	TTC7A	36.23648050577203	5p	False
BS_3KD309X6	amplicon1	BFB_1	AASDH	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	ARL9	5.897558941045682	None	False
BS_3KD309X6	amplicon1	BFB_1	CEP135	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	CHIC2	6.780914921124598	None	True
BS_3KD309X6	amplicon1	BFB_1	CLOCK	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	CRACD	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	EXOC1	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	EXOC1L	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	GSX2	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	IGFBP7	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	IGFBP7-AS1	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	KDR	6.780914921124598	None	True
BS_3KD309X6	amplicon1	BFB_1	KIT	6.780914921124598	None	True
BS_3KD309X6	amplicon1	BFB_1	LNX1	4.111026489501435	3p	False
BS_3KD309X6	amplicon1	BFB_1	LNX1-AS2	4.111026489501435	None	False
BS_3KD309X6	amplicon1	BFB_1	NMU	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	NOA1	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	PAICS	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	PDCL2	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	PDGFRA	6.780914921124598	None	True
BS_3KD309X6	amplicon1	BFB_1	POLR2B	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	PPAT	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	REST	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	RPL21P44	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	SPINK2	5.27259974171246	None	False
BS_3KD309X6	amplicon1	BFB_1	SRD5A3	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	SRD5A3-AS1	6.780914921124598	None	False
BS_3KD309X6	amplicon1	BFB_1	SRP72	6.035271782761252	None	False
BS_3KD309X6	amplicon1	BFB_1	THEGL	5.897558941045682	None	False
BS_3KD309X6	amplicon1	BFB_1	TMEM165	6.780914921124598	None	False
BS_AH252MTC	amplicon1	Linear_1	CHIC2	5.158779638182601	None	True
BS_AH252MTC	amplicon1	Linear_1	GSX2	5.158779638182601	None	False
BS_AH252MTC	amplicon1	Linear_1	PDGFRA	5.158779638182601	None	True
BS_AH252MTC	amplicon1	Linear_1	RPL21P44	5.158779638182601	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	AASDH	4.923516144699674	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	CEP135	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	CHIC2	5.43196451931601	None	True
BS_FZ8D57HJ	amplicon1	Linear_1	CLOCK	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	CRACD	4.923516144699674	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	EXOC1	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	EXOC1L	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	GSX2	5.43196451931601	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	KDR	5.152313006086296	None	True
BS_FZ8D57HJ	amplicon1	Linear_1	KIT	5.152313006086296	None	True
BS_FZ8D57HJ	amplicon1	Linear_1	NMU	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	PAICS	4.923516144699674	3p	False
BS_FZ8D57HJ	amplicon1	Linear_1	PDCL2	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	PDGFRA	5.953643618178795	None	True
BS_FZ8D57HJ	amplicon1	Linear_1	PPAT	4.923516144699674	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	RPL21P44	5.43196451931601	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	SRD5A3	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	SRD5A3-AS1	5.152313006086296	None	False
BS_FZ8D57HJ	amplicon1	Linear_1	TMEM165	5.152313006086296	None	False
BS_GH6PH611	amplicon1	Linear_1	CHIC2	5.563349780807025	None	True
BS_GH6PH611	amplicon1	Linear_1	GSX2	5.563349780807025	None	False
BS_GH6PH611	amplicon1	Linear_1	PDGFRA	5.563349780807025	None	True
BS_GH6PH611	amplicon1	Linear_1	RPL21P44	5.563349780807025	None	False
BS_4FKXNJHW	amplicon1	ecDNA_1	MYCN	23.057119032732118	None	True
BS_4FKXNJHW	amplicon1	ecDNA_1	MYCNOS	23.057119032732118	None	False
BS_4FKXNJHW	amplicon1	ecDNA_1	MYCNUT	23.057119032732118	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	CHIC2	7.33348892326662	None	True
BS_8GW9ZD0F	amplicon1	BFB_1	DANCR	6.279844897831526	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	ERVMER34-1	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	FIP1L1	6.417361237524336	None	True
BS_8GW9ZD0F	amplicon1	BFB_1	GSX2	7.33348892326662	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	LNX1	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	LNX1-AS1	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	LNX1-AS2	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	PDGFRA	7.33348892326662	None	True
BS_8GW9ZD0F	amplicon1	BFB_1	RASL11B	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	RPL21P44	7.33348892326662	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	SCFD2	6.417361237524336	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	SNORA26	6.279844897831526	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	USP46	6.279844897831526	None	False
BS_8GW9ZD0F	amplicon1	BFB_1	USP46-AS1	6.279844897831526	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ADAM28	5.451774885742562	None	True
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ADAM7	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ADAMDEC1	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	AP3M2	5.794392887578388	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	BLK	5.249242886545075	None	True
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	CDCA2	5.451774885742554	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	CHMP7	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	COX6C	4.691679576828132	5p	True
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	DOCK5	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	EBF2	5.4517748857425525	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ENTPD4	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ERI1	5.745477216281833	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	GATA4	5.249242886545075	3p	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	GNRH1	5.451774885742554	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	GPR20	6.531949157070711	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	KAT6A	5.794392887578388	None	True
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	KCTD9	5.451774885742554	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	LOXL2	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	MROH5	6.531949157070711	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	NEFL	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	NEFM	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	NKX2-6	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	NKX3-1	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	OSR2	4.831182158486813	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PCMTD1	6.439378188545509	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PEBP4	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PLAT	5.794392887578388	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PPP1R3B	5.745477216281833	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PTP4A3	6.531949157070711	None	True
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	PXDNL	4.789557447115089	3p	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	R3HCC1	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	RHOBTB2	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	SLC25A37	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	SLC45A4	6.531949157070714	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	SNORA99	5.249242886545075	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	SNORD3I	5.745477216281833	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	ST18	5.3146913996045155	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	STC1	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	STK3	4.831182158486813	3p	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	TNFRSF10A	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	TNFRSF10B	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	TNFRSF10C	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	TNFRSF10D	5.451774885742562	None	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	TSNARE1	6.633031570112357	5p	False
BS_A024WSJX	amplicon1	Complex-non-cyclic_1	VPS13B	4.831182158486813	None	False
BS_9ANMMYJS	amplicon1	BFB_1	NLGN1	5.808605604742559	5p	False
BS_9ANMMYJS	amplicon1	BFB_1	NLGN1-AS1	5.808605604742559	None	False
BS_MTYNW7BX	amplicon1	ecDNA_1	CASC11	19.53688963749745	3p	False
BS_MTYNW7BX	amplicon1	ecDNA_1	MYC	19.53688963749745	None	True
BS_MTYNW7BX	amplicon1	ecDNA_1	PVT1	56.72167389119923	3p	True
BS_MTYNW7BX	amplicon1	ecDNA_1	TMEM75	16.1727075140143	None	False
BS_ERDKHKT5	amplicon1	ecDNA_1	ALK	11.399377639660615	None	True
BS_ERDKHKT5	amplicon1	ecDNA_1	CLIP4	11.399377639660615	5p	False
BS_ERDKHKT5	amplicon1	ecDNA_1	PLB1	11.605800354150496	5p	False
BS_ERDKHKT5	amplicon1	ecDNA_1	PPP1CB	11.734274216424774	3p	False
BS_ERDKHKT5	amplicon1	ecDNA_1	SPDYA	11.114415433629238	5p	False
BS_ERDKHKT5	amplicon1	ecDNA_1	TOGARAM2	12.451849537341865	3p	False
BS_ERDKHKT5	amplicon1	ecDNA_1	TRMT61B	11.114415433629238	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	AGAP2	37.426335593952096	3p	True
BS_DYA4EMPF	amplicon1	ecDNA_1	ATP23	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	AVIL	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	CDK4	37.426335593952096	None	True
BS_DYA4EMPF	amplicon1	ecDNA_1	CTDSP2	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	CYP27B1	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	EEF1AKMT3	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	GIHCG	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	MARCHF9	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	METTL1	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	TSFM	37.426335593952096	None	False
BS_DYA4EMPF	amplicon1	ecDNA_1	TSPAN31	37.426335593952096	None	False
BS_4ZG27R47	amplicon1	ecDNA_1	CAV1	45.44402306036083	5p	True
BS_4ZG27R47	amplicon1	ecDNA_1	MET	46.32520185971618	None	True
BS_9HMAQJ93	amplicon2	ecDNA_1	AKAP3	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	C12orf4	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	CCND2	13.113046770889616	None	True
BS_9HMAQJ93	amplicon2	ecDNA_1	CCND2-AS1	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	CRACR2A	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	DYRK4	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	FGF23	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	FGF6	13.113046770889616	None	True
BS_9HMAQJ93	amplicon2	ecDNA_1	GALNT8	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	GAU1	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	KCNA1	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	KCNA6	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	NDUFA9	9.931389933247571	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	PARP11	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	PRMT8	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	RAD51AP1	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	TEAD4	12.969882015494646	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	THCAT155	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	TIGAR	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	TSPAN9	13.113046770889616	None	False
BS_9HMAQJ93	amplicon2	ecDNA_1	TULP3	12.969882015494646	5p	False
BS_9HMAQJ93	amplicon2	unknown_1	CACNA1C	8.595002963032986	5p	False
BS_9HMAQJ93	amplicon2	unknown_1	CACNA1C-AS1	8.595002963032986	None	False
BS_9HMAQJ93	amplicon2	unknown_1	CACNA1C-AS2	8.595002963032986	None	False
BS_9HMAQJ93	amplicon2	unknown_1	FKBP4	8.595002963032986	None	False
BS_9HMAQJ93	amplicon2	unknown_1	ITFG2	8.595002963032986	None	False
BS_9HMAQJ93	amplicon2	unknown_1	ITFG2-AS1	8.595002963032986	None	False
BS_9HMAQJ93	amplicon2	unknown_1	NRIP2	8.595002963032986	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	ALAS2	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	APEX2	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	CAPZA3	5.73632408257061	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	FAM104B	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	FAM120C	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	FGD1	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	FOXR2	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	GNL3L	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	ITIH6	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	KLF8	7.143602252902483	None	True
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	MAGED2	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	MAGEH1	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	MTRNR2L10	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	NBDY	5.770522887115933	3p	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PAGE2	6.620491050317765	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PAGE2B	6.620491050317765	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PAGE3	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PAGE5	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PFKFB1	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PHF8	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PIK3C2G	5.73632408257061	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	PLCZ1	5.73632408257061	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	RRAGB	6.14616655528488	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	SNORA109	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	SNORA11	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	SNORA11G	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	TRO	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	TSR2	6.06648856678971	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	UBQLN2	5.770522887115933	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	UQCRBP1	5.770522887115933	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	USP51	6.066488566789715	None	False
BS_9HMAQJ93	amplicon3	Complex-non-cyclic_1	WNK3	6.06648856678971	None	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	ACTR8	6.457787311460471	None	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	CACNA2D3	6.457787311460471	3p	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	IL17RB	6.457787311460471	5p	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	RWDD3	5.330280824226358	None	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	SELENOK	6.457787311460471	None	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	TLCD4	5.330280824226358	5p	False
BS_1KP6JADZ	amplicon1	Complex-non-cyclic_1	TLCD4-RWDD3	5.330280824226358	5p	False
BS_1KP6JADZ	amplicon2	Linear_1	DCP1A	5.1721780314094605	None	False
BS_1KP6JADZ	amplicon2	Linear_1	PRKCD	5.1721780314094605	None	False
BS_1KP6JADZ	amplicon2	Linear_1	RFT1	5.1721780314094605	None	False
BS_1KP6JADZ	amplicon2	Linear_1	SNORD38C	5.1721780314094605	None	False
BS_1KP6JADZ	amplicon2	Linear_1	TKT	5.1721780314094605	None	False
BS_Z36ZZZ9N	amplicon1	ecDNA_1	KDR	4.2455145540258625	None	True
BS_Z36ZZZ9N	amplicon1	unknown_1	CHIC2	5.5331123566346285	None	True
BS_Z36ZZZ9N	amplicon1	unknown_1	GSX2	5.5331123566346285	None	False
BS_Z36ZZZ9N	amplicon1	unknown_1	LNX1	5.5331123566346285	3p	False
BS_Z36ZZZ9N	amplicon1	unknown_1	LNX1-AS1	5.5331123566346285	5p	False
BS_Z36ZZZ9N	amplicon1	unknown_1	LNX1-AS2	5.5331123566346285	None	False
BS_Z36ZZZ9N	amplicon1	unknown_1	PDGFRA	5.5234818325000195	None	True
BS_Z36ZZZ9N	amplicon1	unknown_1	RPL21P44	5.5331123566346285	None	False
BS_2F8PFTW5	amplicon1	Linear_1	THSD4-AS2	5.211806851837571	None	False
BS_2F8PFTW5	amplicon2	Linear_1	ADAMTS17	6.20642471256102	None	False
BS_2F8PFTW5	amplicon2	Linear_1	CERS3	6.20642471256102	5p	False
BS_2F8PFTW5	amplicon2	Linear_1	CERS3-AS1	6.20642471256102	None	False
BS_2F8PFTW5	amplicon2	Linear_1	SPATA41	6.20642471256102	None	False
BS_XB34VS6P	amplicon1	Linear_1	THSD4-AS2	4.169445935058174	None	False
BS_XB34VS6P	amplicon2	Linear_1	ADAMTS17	5.375669653392694	None	False
BS_XB34VS6P	amplicon2	Linear_1	CERS3	5.375669653392694	5p	False
BS_XB34VS6P	amplicon2	Linear_1	CERS3-AS1	5.375669653392694	None	False
BS_XB34VS6P	amplicon2	Linear_1	SPATA41	5.375669653392694	None	False
BS_YTTPJ4RX	amplicon1	Complex-non-cyclic_1	FRG1EP	5.523902032256024	None	False
BS_95EMTN3E	amplicon1	ecDNA_1	CASC11	45.28664715120317	3p	False
BS_95EMTN3E	amplicon1	ecDNA_1	CASC21	46.411398734195146	3p	False
BS_95EMTN3E	amplicon1	ecDNA_1	CASC8	46.03529383501833	5p	False
BS_95EMTN3E	amplicon1	ecDNA_1	CCAT1	46.411398734195146	3p	False
BS_95EMTN3E	amplicon1	ecDNA_1	MYC	45.28664715120317	None	True
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	ARHGAP33	5.523990288288249	3p	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	HSPB6	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	IGFLR1	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	KMT2B	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	LIN37	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	PROSER3	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	PSENEN	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	U2AF1L4	5.523990288288249	None	False
BS_AZD61W93	amplicon1	Complex-non-cyclic_1	ZBTB32	5.523990288288249	5p	False
BS_7M145V8M	amplicon1	ecDNA_1	ESR1	12.043812879306905	5p	False
BS_7M145V8M	amplicon1	ecDNA_1	HYMAI	12.498537174233327	None	False
BS_7M145V8M	amplicon1	ecDNA_1	MAP3K5	12.180323049647145	3p	False
BS_7M145V8M	amplicon1	ecDNA_1	MAP3K5-AS1	12.180323049647145	None	False
BS_7M145V8M	amplicon1	ecDNA_1	MPC1	12.488665267545777	None	False
BS_7M145V8M	amplicon1	ecDNA_1	PEX7	12.049211269178548	3p	False
BS_7M145V8M	amplicon1	ecDNA_1	PLAGL1	12.498537174233327	None	False
BS_7M145V8M	amplicon1	ecDNA_1	RPS6KA2	12.488665267545777	5p	False
BS_7M145V8M	amplicon1	ecDNA_1	SF3B5	12.36742539376473	None	False
BS_7M145V8M	amplicon1	ecDNA_1	SFT2D1	12.488665267545777	3p	False
BS_7M145V8M	amplicon1	ecDNA_1	ZC2HC1B	12.498537174233327	5p	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ANKRD10	15.781435580893174	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ARHGEF7	15.68070560745871	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ARHGEF7-AS1	15.68070560745871	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ARHGEF7-AS2	15.68070560745871	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ATP11A	16.09345445180697	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ATP11A-AS1	16.09345445180697	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ATP11AUN	16.09345445180697	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	CARS2	15.89314923132491	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	COL4A1	15.594119353001567	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	COL4A2	15.594119353001567	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	COL4A2-AS1	15.594119353001567	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	COL4A2-AS2	15.594119353001567	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	ING1	15.89314923132491	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	IRS2	15.550532158787883	None	True
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	NAXD	15.89314923132491	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	RAB20	15.594119353001567	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	SOX1	16.082470774809718	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	SOX1-OT	16.082470774809718	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	SPACA7	16.454520904560965	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	TEX29	15.68070560745871	None	False
BS_7M145V8M	amplicon2	Complex-non-cyclic_1	TUBGCP3	16.09345445180697	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	ESR1	27.271226162039174	5p	False
BS_VRDQTVHR	amplicon1	ecDNA_1	GJE1	8.040877042648836	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	HMGA1P7	8.13715066350122	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	HYMAI	27.433954441732155	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	MAP3K5	31.592125474894583	3p	False
BS_VRDQTVHR	amplicon1	ecDNA_1	MAP3K5-AS1	31.592125474894583	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	MPC1	26.982116624538534	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	NMBR	8.040877042648836	None	False
BS_VRDQTVHR	amplicon1	ecDNA_1	PEX7	31.592125474894583	3p	False
BS_VRDQTVHR	amplicon1	ecDNA_1	PLAGL1	27.433954441732155	None	False
